Label,Plasmid,Plas_group,Strain_Rep,Plas_Rep,Plas,Quantity_S,Dilution_S,Quantity_E,Dilution_E,Quantity_P,Dilution_P,Quantity_T,Dilution_T,Start_DC,Start_RC,End_DC,End_RC,Plas_TC,Tran_TC,Data,Dat_rep
CompCon,Con,Con,1,1,,0.06,6,0.06,7,,,,,95,136,29,22,NA,NA,Dec_24,
CompCon,Con,Con,2,2,,0.06,6,0.06,7,,,,,143,121,22,25,NA,NA,Dec_24,
CompCon,Con,Con,3,3,,0.06,6,0.06,7,,,,,171,159,22,20,NA,NA,Dec_24,
CompCon,Con,Con,4,4,,0.06,6,0.06,7,,,,,166,171,20,33,NA,NA,Dec_24,
CompCon,Con,Con,5,5,,0.06,6,0.06,7,,,,,114,158,36,26,NA,NA,Dec_24,
CompCon,Con,Con,6,6,,0.06,6,0.06,7,,,,,113,112,40,39,NA,NA,Dec_24,
22N,pP19E3_L,5,1,1,1,0.06,6,0.06,7,0.05,6,0.2,0,180,103,28,14,13,15,Dec_24,1
22N,pP19E3_L,5,2,2,1,0.06,6,0.06,7,0.05,6,0.2,0,140,113,26,16,77,504,Dec_24,1
22N,pP19E3_L,5,3,3,1,0.06,6,0.06,7,0.05,6,0.2,0,182,102,29,26,39,6,Dec_24,1
23N,pP19E3_L,5,1,10,2,0.06,6,0.06,7,0.05,6,0.2,0,105,114,20,14,25,29,Dec_24,2
23N,pP19E3_L,5,2,11,2,0.06,6,0.06,7,0.05,6,0.2,0,117,99,26,19,25,15,Dec_24,2
23N,pP19E3_L,5,3,12,2,0.06,6,0.06,7,0.05,6,0.2,0,93,123,22,15,64,28,Dec_24,2
S16,pQBR102,6,1,1,1,0.06,6,0.06,7,0.1,6,0.1,3,133,113,29,16,193,58,Dec_24,1
S16,pQBR102,6,2,2,1,0.06,6,0.06,7,0.1,6,0.1,3,112,110,34,10,198,137,Dec_24,1
S16,pQBR102,6,3,3,1,0.06,6,0.06,7,0.1,6,0.1,3,164,98,36,20,258,82,Dec_24,1
S35,pQBR102,6,1,9,2,0.06,6,0.06,7,0.1,6,0.1,3,127,127,35,16,282,77,Dec_24,2
S35,pQBR102,6,2,10,2,0.06,6,0.06,7,0.1,6,0.1,3,139,111,32,23,433,123,Dec_24,2
S35,pQBR102,6,3,11,2,0.06,6,0.06,7,0.1,6,0.1,3,104,103,44,17,459,79,Dec_24,2
11,pQBR103_L,3,1,1,1,0.06,6,0.06,6,0.05,2,0.2,0,44,95,25,3345,41,0,Dec_24,1
11,pQBR103_L,3,2,2,1,0.06,6,0.06,6,0.05,2,0.2,0,70,115,12,368,34,0,Dec_24,1
11,pQBR103_L,3,3,3,1,0.06,6,0.06,6,0.05,2,0.2,0,148,88,15,332,36,0,Dec_24,1
19,pQBR103_L,3,1,9,2,0.06,6,0.06,6,0.05,2,0.2,0,56,111,14,398,55,0,Dec_24,2
19,pQBR103_L,3,2,10,2,0.06,6,0.06,6,0.05,2,0.2,0,75,183,14,263,68,0,Dec_24,2
19,pQBR103_L,3,3,11,2,0.06,6,0.06,6,0.05,2,0.2,0,93,122,14,464,34,0,Dec_24,2
S20,pQBR132,2,1,1,1,0.06,6,0.06,6,0.075,7,0.2,0,46,72,143,50,11,0,Dec_24,1
S20,pQBR132,2,2,2,1,0.06,6,0.06,6,0.075,7,0.2,0,82,104,117,39,7,0,Dec_24,1
S20,pQBR132,2,3,3,1,0.06,6,0.06,6,0.075,7,0.2,0,127,142,208,41,5,0,Dec_24,1
S39,pQBR132,2,1,9,2,0.06,6,0.06,6,0.075,7,0.1,0,103,129,108,85,15,0,Dec_24,2
S39,pQBR132,2,2,10,2,0.06,6,0.06,6,0.075,7,0.1,0,89,107,125,97,14,0,Dec_24,2
S39,pQBR132,2,3,11,2,0.06,6,0.06,6,0.075,7,0.1,0,128,142,205,38,12,0,Dec_24,2
S21,pQBR150,6,1,1,1,0.06,6,0.06,7,0.075,7,0.1,0,98,110,19,12,29,1046,Dec_24,1
S21,pQBR150,6,2,2,1,0.06,6,0.06,7,0.075,7,0.1,0,116,109,16,16,13,669,Dec_24,1
S21,pQBR150,6,3,3,1,0.06,6,0.06,7,0.075,7,0.1,0,99,109,17,15,31,607,Dec_24,1
S40,pQBR150,6,1,9,2,0.06,6,0.06,7,0.075,7,0.1,0,242,153,24,21,25,399,Dec_24,2
