#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQG3rel05_contig_1	6267	6689	-	pQG3rel05_00050	15.6	11.2		
pQG3rel05_contig_1	6716	7063	+	pQG3rel05_00055	12.6	10.1		SO:0001217, UniRef:UniRef50_UPI00128EFCF4, UniRef:UniRef90_UPI00128EFCF4
pQG3rel05_contig_1	7071	7496	+	pQG3rel05_00060	15.2	5.2		
pQG3rel05_contig_1	8777	9013	-	pQG3rel05_00070	8.3	9.8		RefSeq:WP_064363745.1, SO:0001217, UniParc:UPI0006CC216C, UniRef:UniRef100_UPI0006CC216C, UniRef:UniRef50_UPI0006CC216C, UniRef:UniRef90_UPI0006CC216C
pQG3rel05_contig_1	29637	29855	+	pQG3rel05_00190	8.0	4.5		RefSeq:WP_064363724.1, SO:0001217, UniParc:UPI0006CE026F, UniRef:UniRef100_UPI0006CE026F, UniRef:UniRef50_UPI0006CE026F, UniRef:UniRef90_UPI0006CE026F
pQG3rel05_contig_1	38341	38622	-	pQG3rel05_00230	10.4	9.1		
pQG3rel05_contig_1	42359	42622	-	pQG3rel05_00270	9.8	7.8		
pQG3rel05_contig_1	90921	91256	+	pQG3rel05_00495	12.2	5.8		RefSeq:WP_064363834.1, SO:0001217, UniParc:UPI0006CCB31C, UniRef:UniRef100_UPI0006CCB31C, UniRef:UniRef50_UPI001B33B7FC, UniRef:UniRef90_UPI001B33B7FC
pQG3rel05_contig_1	91361	91693	+	pQG3rel05_00500	12.4	9.1		
pQG3rel05_contig_1	92447	92680	+	pQG3rel05_00510	8.1	9.8		
pQG3rel05_contig_1	95044	95205	-	pQG3rel05_00520	5.9	6.8		
pQG3rel05_contig_1	110927	111193	+	pQG3rel05_00615	9.5	6.6		SO:0001217, UniRef:UniRef50_UPI00128F0477, UniRef:UniRef90_UPI00128F0477
pQG3rel05_contig_1	111186	111470	+	pQG3rel05_00620	10.1	9.8		RefSeq:WP_064363815.1, SO:0001217, UniParc:UPI0006CCFD91, UniRef:UniRef100_UPI0006CCFD91, UniRef:UniRef50_UPI000F05170E, UniRef:UniRef90_UPI0006CCFD91
pQG3rel05_contig_1	112008	112205	+	pQG3rel05_00630	7.0	5.0		RefSeq:WP_064363813.1, SO:0001217, UniParc:UPI0006CDAA44, UniRef:UniRef100_UPI0006CDAA44, UniRef:UniRef50_UPI0012408348, UniRef:UniRef90_UPI0006CDAA44
