Name,Product,Colour
g0018,Antiholin-like protein LrgA,#2090FF
g0024,PRTRC system protein C,#266FC2
g0030,mercury(II) reductase,#000000
g0583,3HCDH domain-containing protein,#4991F5
g0597,DUF222 domain-containing protein,#3190FC
g0568,Regulatory protein,#000000
g0540,Aminoacyl-tRNA hydrolase,#2D90FC
g0226,Methyl-accepting transducer domain-containing protein,#182235
g0232,PAPS-reduct domain-containing protein,#4390F7
g0554,IS3 family ISPpu33 transposase ORF A,#000000
g0391,DUF998 domain-containing protein,#000000
g0408,CxC5 domain-containing protein,#000000
g0352,EAL domain-containing protein,#000000
g0346,DUF89 domain-containing protein,#000000
g0420,Putative transmembrane protein,#000000
g0193,tRNA-edit domain-containing protein,#E9B122
g0187,DUF1330 domain-containing protein,#A596AC
g0178,Putative response regulator domain-only transcriptional regulator,#BF9B7F
g0150,Tellurium resistance protein,#6992E5
g0636,hypothetical protein,#000000
g0622,HNH endonuclease,#000000
g0144,KfrA-N domain-containing protein,#8A94CB
g0145,Integral membrane protein,#4991F4
g0151,Chemotaxis protein,#5C91EC
g0179,Tail protein,#5D91EC
g0186,WH2 domain-containing protein,#4E91F2
g0192,Znf/thioredoxin-put domain-containing protein,#DBA620
g0347,TonB family protein,#000000
g0435,Lipoprotein,#000000
g0384,Uncharacterized protein PA14_35840,#000000
g0390,Conjugal transfer protein,#000000
g0233,Conjugal transfer protein TraG,#1B2942
g0541,DUF1330 domain-containing protein,#2A90FD
g0227,Protein kinase domain-containing protein,#171F31
g0569,Putative exported protein,#000000
g0582,Secreted protein,#000000
g0031,DUF3995 domain-containing protein,#276AB9
g0025,TnpR protein,#000000
g0019,carbon storage regulator CsrA,#247EDD
g0033,Phasin-2 domain-containing protein,#2761A9
g0027,Hypothetical exported protein,#000000
g0594,Zinc-finger,#3490FB
g0580,Conjugal transfer protein,#000000
g0219,Putative UvrD/Rep family helicase,#151B29
g0557,Inner membrane protein,#000000
g0231,Radical SAM protein,#000000
g0225,TraG-N domain-containing protein,#4891F5
g0543,Pept-C1 domain-containing protein,#000000
g0386,Abasic site processing protein,#000000
g0392,ribonuclease HII,#000000
g0379,AAA-5 domain-containing protein,#2760A6
g0423,PDDEXK-5 domain-containing protein,#000000
g0345,Lipoprotein,#000000
g0437,DUF2591 domain-containing protein,#2381E3
g0184,Nitro-FeMo-Co domain-containing protein,#5291F1
g0190,DUF1989 domain-containing protein,#B49994
g0609,Tail fiber protein,#8193D3
g0147,Putative transmembrane protein,#8F94C6
g0621,MBL fold metallo-hydrolase,#000000
g0635,Type III secretion effector protein,#000000
g0153,Morphogenetic protein,#B19899
g0634,hypothetical protein,#000000
g0152,Dynein-AAA-lid domain-containing protein,#9C95B7
g0146,N6-Mtase domain-containing protein,#6992E5
g0608,Phage protein,#000000
g0191,DUF4367 domain-containing protein,#A997A6
g0185,Secreted protein,#C79E6A
g0350,Crp/Fnr family transcriptional regulator,#000000
g0436,DUF3768 domain-containing protein,#266FC2
g0422,Putative transmembrane pilus-related protein,#2E90FC
g0344,N-acetyltransferase,#26518B
g0378,SMI1/KNR4 family protein,#000000
g0393,Aminopyrimidine aminohydrolase,#2671C6
g0224,VWFA domain-containing protein,#3C90F9
g0542,ClpS domain-containing protein,#000000
g0595,DUF3077 domain-containing protein,#2F90FC
g0026,TNase-like domain-containing protein,#000000
g0032,DUF1963 domain-containing protein,#000000
g0036,Arc family DNA-binding protein,#3190FC
g0022,mercuric ion transporter MerT,#000000
g0591,DUF3480 domain-containing protein,#000000
g0234,AAA domain-containing protein,#182236
g0552,AbiEi antitoxin of type IV toxin-antitoxin system,#000000
g0546,DUF4253 domain-containing protein,#000000
g0220,Putative exodeoxyribonuclease,#10131C
g0208,hypothetical protein,#4F91F2
g0383,DNA-binding protein,#2190FE
g0397,DUF922 domain-containing protein,#26518A
g0426,NADAR domain-containing protein,#000000
g0432,Putative transmembrane protein,#000000
g0354,Ig-like domain-containing protein,#2286ED
g0368,CBAH domain-containing protein,#3890FA
g0181,L-rhamnose mutarotase,#7092E1
g0195,DUF5611 domain-containing protein,#5591EF
g0624,Transposase,#000000
g0142,Prepilin leader peptidase/N-methyltransferase,#A596AC
g0630,hypothetical protein,#000000
g0618,Ada-Zn-binding domain-containing protein,#1F90FF
g0619,SH3 domain-containing protein,#000000
g0157,Putative transmembrane protein,#AD98A0
g0631,Phage protein,#000000
g0625,Talin-middle domain-containing protein,#3290FB
g0143,MOSC domain-containing protein,#AE989E
g0194,Inner membrane protein,#FFC125
g0180,Barstar domain-containing protein,#5D91EC
g0433,DUF1281 domain-containing protein,#000000
g0355,CPBP family intramembrane metalloprotease,#276ABA
g0341,Pentapeptide repeat-containing protein,#4590F6
g0427,ABC2-membrane domain-containing protein,#000000
g0382,Fe2OG dioxygenase domain-containing protein,#000000
g0209,histidine kinase,#182134
g0547,DUF4379 domain-containing protein,#000000
g0235,TPR-REGION domain-containing protein,#000000
g0553,DUF1232 domain-containing protein,#000000
g0584,Peroxisomal membrane protein PEX16,#3090FC
g0023,Response regulator,#213B63
g0037,YheU family protein,#2790FE
g0021,Conserved domain protein,#2189F3
g0035,Replication protein,#131925
g0009,Holin,#000000
g0586,IS3 family transposase ORF A,#000000
g0223,LPD1 domain-containing protein,#10141D
g0545,hypothetical protein,#000000
g0551,Secreted protein,#2764AF
g0237,Pilus assembly protein,#244677
g0579,DNA-binding protein HU,#000000
g0380,Putative cyclic amp receptor-family protein,#2C90FD
g0357,DNA-binding protein,#000000
g0431,DUF3800 domain-containing protein,#A797A8
g0425,Transposase,#2190FF
g0419,N-acetyltransferase domain-containing protein,#000000
g0196,Intracellular multiplication protein IcmV,#FBBE24
g0182,DUF5615 domain-containing protein,#5591EF
g0633,Fumarase D,#5C91EC
g0155,DUF1330 domain-containing protein,#6F92E1
g0141,DUF1376 domain-containing protein,#6D92E2
g0169,DUF3568 domain-containing protein,#6E92E2
g0168,YbjN domain-containing protein,#8093D5
g0140,DUF808 domain-containing protein,#C39C74
g0626,DNA primase,#3B90F9
g0632,Conserved membrane protein,#000000
g0183,Transcriptional regulator,#9895BC
g0197,CNNM transmembrane domain-containing protein,#5E91EB
g0418,DUF4265 domain-containing protein,#000000
g0424,Phage tail protein,#000000
g0342,Transcription-repair coupling factor,#000000
g0356,DUF3846 domain-containing protein,#1D2E4A
g0430,hypothetical protein,#000000
g0381,DUF2170 domain-containing protein,#000000
g0395,Putative transmembrane protein,#276AB9
g0578,hypothetical protein,#000000
g0550,DUF4065 domain-containing protein,#2382E4
g0222,VWFA domain-containing protein,#172032
g0593,Integral membrane protein,#000000
g0587,Carbam-trans-N domain-containing protein,#000000
g0008,DUF2574 domain-containing protein,#000000
g0034,IS66 family insertion sequence element accessory protein TnpB,#000000
g0020,mercury resistance system periplasmic binding protein MerP,#000000
g0084,Putative cold shock domain transmembrane protein,#5291F1
g0090,HD-domain domain-containing protein,#3190FC
g0047,Putative helicase,#2890FD
g0053,OmpA-like domain-containing protein,#1A263C
g0286,Ni(II)/Co(II) efflux transporter permease subunit MrdH,#000000
g0292,Radical SAM protein,#254F88
g0279,ATP-binding protein,#000000
g0245,Conjugal transfer protein TraB,#247DDC
g0127_1,BIG2 domain-containing protein,#151B2A
g0537,YHS domain-containing protein,#3F90F8
g0494,Putative conjugative transfer protein,#208CF8
g0480,GCR1-C domain-containing protein,#1F90FF
g0319,LAM-G-DOMAIN domain-containing protein,#275CA0
g0331,DUF3800 domain-containing protein,#19253A
g0325,putative chromosome-partitioning protein ParB,#244779
g0133,DUF3800 domain-containing protein,#9194C4
g0641,DUF3265 domain-containing protein,#000000
g0126,Peptigoglycan-binding protein LysM,#6791E6
g0640,hypothetical protein,#3B90F9
g0654,hypothetical protein,#000000
g0132,PAPS-reduct domain-containing protein,#DBA620
g0442,ERF1-2 domain-containing protein,#6992E5
g0324,Thioredoxin-like-fold domain-containing protein,#223E68
g0318,Transmembrane protein,#4590F6
g0481,RNAse-A-bac domain-containing protein,#2190FF
g0536,Bacitracin resistance protein,#000000
g0522,ParA family protein,#000000
g0287,Radical SAM core domain-containing protein,#257AD5
g0052,DUF1611 domain-containing protein,#3590FB
g0046,Insecticidal toxin protein,#3F90F8
g0091,UPF0033 domain-containing protein,#6191E9
g0085,DUF5598 domain-containing protein,#3A90F9
g0093,Restriction endonuclease subunit S,#3390FB
g0087,YebG family protein,#6E92E2
g0078,RNHCP domain-containing protein,#234270
g0050,DUF2958 domain-containing protein,#3390FB
g0044,DUF882 domain-containing protein,#2763AD
g0291,ALP-N domain-containing protein,#000000
g0285,Radical SAM core domain-containing protein,#000000
g0508,MT domain-containing protein,#3790FA
g0252,HD domain-containing protein,#1D2E4A
g0520,DUF3077 domain-containing protein,#000000
g0127_2,Invasin,#000000
g0483,Transcriptional regulator,#2290FE
g0497,Roadblock/LC7 domain-containing protein,#4C91F3
g0468,DUF4359 domain-containing protein,#000000
g0326,AAA-31 domain-containing protein,#24487A
g0454,ParB domain-containing protein,#000000
g0332,Alpha/beta hydrolase,#1B2841
g0118,DNA repair protein,#9B95B8
g0642,Transposase,#2690FE
g0130,Nup96 domain-containing protein,#D9A526
g0131,Putative phage-related integrase/recombinase,#6C92E3
g0643,ANTAR domain-containing protein,#000000
g0125,Putative DNA-binding protein,#DBA620
g0455,EamA domain-containing protein,#000000
g0333,Peptidase-M48 domain-containing protein,#2761A9
g0327,S4 RNA-binding domain-containing protein,#2382E6
g0441,CheW-like domain-containing protein,#000000
g0496,Diacylglycerol kinase,#000000
g0482,Putative transmembrane protein,#254A7F
g0521,Lipoprotein,#000000
g0247,Transmembrane protein,#121721
g0535,DUF3301 domain-containing protein,#3690FA
g0509,RNA-dependent RNA polymerase,#2090FF
g0284,GSP-synth domain-containing protein,#21395F
g0290,DNA polymerase III subunit beta,#000000
g0045,Exported protein,#275C9F
g0051,Histidine kinase,#11151E
g0079,ParB domain-containing protein,#4691F6
g0086,Transmembrane protein,#2763AC
g0092,Tetratricopeptide repeat protein,#2670C3
g0096,Conserved domain protein,#2990FD
g0082,DUF4371 domain-containing protein,#2990FD
g0055,YbjN domain-containing protein,#4490F6
g0041,IS66 family transposase,#000000
g0069,Hg(II)-responsive transcriptional regulator,#2763AC
g0294,T2SP-E domain-containing protein,#000000
