# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
pQBR132_contig_1	cds	1	1524	+	PQBR132_00005	dnaB	replicative DNA helicase	SO:0001217, UniRef:UniRef50_A0A522M6A2, UniRef:UniRef90_A0A1E4WYE3
pQBR132_contig_1	cds	1598	2992	+	PQBR132_00010	dnaB	replicative DNA helicase	COG:COG0305, COG:L, SO:0001217, UniRef:UniRef50_A0A0H3YZB3, UniRef:UniRef90_A0A7X2RT33
pQBR132_contig_1	cds	3185	4819	+	PQBR132_00015		Ig-like domain-containing protein	SO:0001217, UniRef:UniRef50_UPI001C6F6F87
pQBR132_contig_1	cds	4929	5171	+	PQBR132_00020		hypothetical protein	
pQBR132_contig_1	cds	5306	6421	+	PQBR132_00025		DUF1173 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3A6RJ00
pQBR132_contig_1	cds	6418	6555	-	PQBR132_00030		hypothetical protein	
pQBR132_contig_1	cds	6674	7177	-	PQBR132_00035		Phage protein	SO:0001217, UniRef:UniRef50_A0A0G4E663, UniRef:UniRef90_A0A0G4E663
pQBR132_contig_1	cds	7188	7424	-	PQBR132_00040		Phage protein	SO:0001217, UniRef:UniRef50_A0A0G4E606, UniRef:UniRef90_A0A0G4E606
pQBR132_contig_1	cds	7552	7872	-	PQBR132_00045		Iron ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A0G4E5L4, UniRef:UniRef90_A0A0G4E5L4
pQBR132_contig_1	cds	7913	8227	-	PQBR132_00050		Na+/proline symporter	SO:0001217, UniRef:UniRef50_A0A161XFB3
pQBR132_contig_1	cds	8277	8441	-	PQBR132_00055	ccmD	CcmD family protein	SO:0001217, UniRef:UniRef50_A0A0G4E667, UniRef:UniRef90_A0A0G4E667
pQBR132_contig_1	cds	8664	8966	-	PQBR132_00060		hypothetical protein	
pQBR132_contig_1	cds	8974	9309	-	PQBR132_00065		TPR-REGION domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3A6RTS1
pQBR132_contig_1	cds	9391	9870	-	PQBR132_00070		Histidine kinase	SO:0001217, UniRef:UniRef50_A0A1E4WXA2, UniRef:UniRef90_A0A1E4WXA2
pQBR132_contig_1	cds	9983	10321	-	PQBR132_00075		MFS domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0Q6Z684, UniRef:UniRef90_A0A0Q6Z684
pQBR132_contig_1	cds	10382	10711	-	PQBR132_00080		hypothetical protein	
pQBR132_contig_1	cds	10763	10999	-	PQBR132_00085		Bacteriophage holin family HP1	SO:0001217, UniRef:UniRef50_R4ITP8
pQBR132_contig_1	cds	11010	11225	-	PQBR132_00090		hypothetical protein	
pQBR132_contig_1	cds	11260	11559	-	PQBR132_00095		hypothetical protein	
pQBR132_contig_1	cds	11652	12089	-	PQBR132_00100		Inner membrane protein	SO:0001217, UniRef:UniRef50_A0A1E4WZ73
pQBR132_contig_1	cds	12526	12948	-	PQBR132_00105		DUF3578 domain-containing protein	SO:0001217, UniRef:UniRef50_C2M7T9
pQBR132_contig_1	cds	12989	13186	-	PQBR132_00110		Beta-ketoadipyl CoA thiolase	SO:0001217, UniRef:UniRef50_A0A1G5YT46
pQBR132_contig_1	cds	13239	13874	-	PQBR132_00115		SOS response-associated peptidase family protein	SO:0001217, UniRef:UniRef50_A0A1G6PTJ5, UniRef:UniRef90_UPI001BE9F9DB
pQBR132_contig_1	cds	13901	15199	-	PQBR132_00120		DNA polymerase IV	SO:0001217, UniRef:UniRef50_A0A109KT76, UniRef:UniRef90_A0A109KT76
pQBR132_contig_1	cds	15196	15630	-	PQBR132_00125		Translesion error-prone DNA polymerase V autoproteolytic subunit	SO:0001217, UniRef:UniRef50_A0A1D9IS75, UniRef:UniRef90_A0A7Y8RQA6
pQBR132_contig_1	cds	15827	16924	-	PQBR132_00130		AlbA-2 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1J0EU49, UniRef:UniRef90_A0A1E4X541
pQBR132_contig_1	cds	16998	17645	-	PQBR132_00135		HEPN-Cthe2314 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1J0EV60, UniRef:UniRef90_A0A1E4X580
pQBR132_contig_1	cds	17724	18476	-	PQBR132_00140		Replication initiator protein	RefSeq:WP_253512385.1, SO:0001217, UniParc:UPI00209E7118, UniRef:UniRef100_UPI00209E7118, UniRef:UniRef50_U2ZVA0, UniRef:UniRef90_A0A1J0ET78
pQBR132_contig_1	cds	19457	20350	+	PQBR132_00145		DUF3267 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1J0ETR6, UniRef:UniRef90_A0A1E4X5B3
pQBR132_contig_1	cds	20423	20605	+	PQBR132_00150		Secreted protein	SO:0001217, UniRef:UniRef50_A0A0G4E643, UniRef:UniRef90_A0A0G4E643
pQBR132_contig_1	cds	21834	22187	+	PQBR132_00155		hypothetical protein	
pQBR132_contig_1	cds	22299	22562	-	PQBR132_00160		DUF29 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0G4E648, UniRef:UniRef90_A0A0G4E648
pQBR132_contig_1	cds	22622	23101	-	PQBR132_00165		DUF2383 domain-containing protein	RefSeq:WP_141718285.1, SO:0001217, UniParc:UPI00114C8810, UniRef:UniRef100_A0A1E4X594, UniRef:UniRef50_A0A1E4X594, UniRef:UniRef90_A0A1E4X594
pQBR132_contig_1	cds	23580	24611	+	PQBR132_00170		ALP-N domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1J0ETD7, UniRef:UniRef90_A0A1J0ETD7
pQBR132_contig_1	cds	24615	24965	+	PQBR132_00175		Type III secretion protein	SO:0001217, UniRef:UniRef50_A0A0G4E5I7
pQBR132_contig_1	cds	25040	25714	+	PQBR132_00180		Methylase-S domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1J0ET89, UniRef:UniRef90_A0A1E4X550
pQBR132_contig_1	cds	25737	26426	-	PQBR132_00185		HTH cro/C1-type domain-containing protein	RefSeq:WP_069553281.1, SO:0001217, UniParc:UPI0006561676, UniRef:UniRef100_A0A1E4X543, UniRef:UniRef50_A0A1J0ETS5, UniRef:UniRef90_A0A1J0ETS5
pQBR132_contig_1	cds	26805	27365	+	PQBR132_00190		SLT domain-containing protein	RefSeq:WP_253512399.1, SO:0001217, UniParc:UPI00209F3A2D, UniRef:UniRef100_UPI00209F3A2D, UniRef:UniRef50_A0A1J0EUA5, UniRef:UniRef90_A0A1J0EUA5
pQBR132_contig_1	cds	27365	27841	+	PQBR132_00195		MCD-N domain-containing protein	RefSeq:WP_176456057.1, SO:0001217, UniParc:UPI0006558BC0, UniRef:UniRef100_A0A0G4E5J0, UniRef:UniRef50_A0A1J0ET85, UniRef:UniRef90_A0A1J0ET85
pQBR132_contig_1	cds	27838	28488	+	PQBR132_00200	flhC	Flagellar transcriptional activator FlhC	SO:0001217, UniRef:UniRef50_A0A1J0ETR1, UniRef:UniRef90_A0A1J0ETR1
pQBR132_contig_1	cds	28527	30008	+	PQBR132_00205		DNA helicase	EC:5.6.2.4, KEGG:K10300, SO:0001217, UniRef:UniRef50_A0A1J0ETY8, UniRef:UniRef90_A0A1E4X589
pQBR132_contig_1	cds	30819	31631	+	PQBR132_00210		Partitioning protein	KEGG:K03496, RefSeq:WP_069553286.1, SO:0001217, UniParc:UPI000655B5E3, UniRef:UniRef100_A0A1E4X5C6, UniRef:UniRef50_A0A1E4X5C6, UniRef:UniRef90_A0A1E4X5C6
pQBR132_contig_1	cds	31631	32605	+	PQBR132_00215	parB	ParB domain-containing protein	KEGG:K03497, SO:0001217, UniRef:UniRef50_A0A1E4X5C2, UniRef:UniRef90_A0A1E4X5C2
pQBR132_contig_1	cds	32712	33185	+	PQBR132_00220		Histidine kinase	SO:0001217, UniRef:UniRef50_A0A1J0ETE5, UniRef:UniRef90_A0A1E4X5A3
pQBR132_contig_1	cds	33352	33558	-	PQBR132_00225		hypothetical protein	
pQBR132_contig_1	cds	33828	34805	+	PQBR132_00230		DNA replication terminus site-binding protein	KEGG:K10748, SO:0001217, UniRef:UniRef50_N2J1C8, UniRef:UniRef90_A0A1E4X5D3
pQBR132_contig_1	cds	34862	35686	+	PQBR132_00235		Protein p12	SO:0001217, UniRef:UniRef50_A0A1E4X561, UniRef:UniRef90_A0A1E4X561
pQBR132_contig_1	cds	35722	36105	+	PQBR132_00240		hypothetical protein	
pQBR132_contig_1	cds	36401	36790	+	PQBR132_00245		Transposase	SO:0001217, UniParc:UPI00001E0958, UniRef:UniRef100_Q70MR7, UniRef:UniRef50_A0A2A3M8S4, UniRef:UniRef90_A0A2N7XWT5
pQBR132_contig_1	cds	36787	37131	+	PQBR132_00250	tnpB	IS66 family insertion sequence element accessory protein TnpB	RefSeq:WP_003425037.1, SO:0001217, UniParc:UPI00001E0957, UniRef:UniRef100_Q70MR8, UniRef:UniRef50_P50359, UniRef:UniRef90_A0A2T6GB03
pQBR132_contig_1	cds	37169	38674	+	PQBR132_00255		IS66 family transposase	RefSeq:WP_003425038.1, SO:0001217, UniParc:UPI000150668B, UniRef:UniRef100_A0A5E7A7Z0, UniRef:UniRef50_Q144L9, UniRef:UniRef90_A0A2A3M8T9
pQBR132_contig_1	cds	38678	38977	+	PQBR132_00260	tnpR	TnpR protein	SO:0001217, UniParc:UPI00001E0955, UniRef:UniRef100_A0A6B7Q3R4, UniRef:UniRef50_A0A1C2KBM6, UniRef:UniRef90_A0A6B7Q3R4
pQBR132_contig_1	cds	39070	39708	-	PQBR132_00265	merB	organomercurial lyase MerB	NCBIFam:NF033555.1, RefSeq:WP_003425042.1, SO:0001217, UniParc:UPI000150668C, UniRef:UniRef100_A0A6B7Q571, UniRef:UniRef50_Q8G9P0, UniRef:UniRef90_K4IYP7
pQBR132_contig_1	cds	39721	41403	-	PQBR132_00270	merA	mercury(II) reductase	NCBIFam:TIGR02053.1, RefSeq:WP_003425044.1, SO:0001217, UniParc:UPI00015066AA, UniRef:UniRef100_A0A6B7Q148, UniRef:UniRef50_P00392, UniRef:UniRef90_A0A0P9GRN2
pQBR132_contig_1	cds	41439	41873	-	PQBR132_00275	merC	organomercurial transporter MerC	NCBIFam:NF033784.1, RefSeq:WP_003425046.1, SO:0001217, UniParc:UPI00015066AB, UniRef:UniRef100_A0A6B7PWM4, UniRef:UniRef50_A0A0A1H6J0, UniRef:UniRef90_Q53IQ9
pQBR132_contig_1	cds	41886	42161	-	PQBR132_00280	merP	mercury resistance system periplasmic binding protein MerP	NCBIFam:TIGR02052.1, RefSeq:WP_003425048.1, SO:0001217, UniParc:UPI0000509F17, UniRef:UniRef100_A0A6B7PWH3, UniRef:UniRef50_Q51770, UniRef:UniRef90_A0A6B7PWH3
pQBR132_contig_1	cds	42179	42529	-	PQBR132_00285	merT	mercuric ion transporter MerT	RefSeq:WP_003425049.1, SO:0001217, UniParc:UPI00015066AC, UniRef:UniRef100_A0A6B7PYP4, UniRef:UniRef50_D6CT51, UniRef:UniRef90_Q53IQ8
pQBR132_contig_1	cds	42601	43032	+	PQBR132_00290	merR	Hg(II)-responsive transcriptional regulator	RefSeq:WP_003425050.1, SO:0001217, UniParc:UPI0000509F15, UniRef:UniRef100_A0A6B7Q0B6, UniRef:UniRef50_A0A4P7P1X8, UniRef:UniRef90_A4V7S8
pQBR132_contig_1	cds	43292	43696	+	PQBR132_00295		Phage tail protein	SO:0001217, UniRef:UniRef50_A0A1E4X5D6, UniRef:UniRef90_A0A1E4X5D6
pQBR132_contig_1	cds	44107	44676	-	PQBR132_00300		Glycogen phosphorylase	SO:0001217, UniRef:UniRef50_A0A0P9LJU5, UniRef:UniRef90_A0A0P9LJU5
pQBR132_contig_1	cds	44804	47773	-	PQBR132_00305		TraG-N domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1J0ETU1, UniRef:UniRef90_A0A1E4X5B4
pQBR132_contig_1	cds	47773	49197	-	PQBR132_00310	traH	Conjugal transfer protein TraH	SO:0001217, UniRef:UniRef50_A0A1J0EUC4, UniRef:UniRef90_A0A1J0EUC4
pQBR132_contig_1	cds	49181	50209	-	PQBR132_00315	traF	IncF plasmid conjugative transfer pilus assembly protein TraF	KEGG:K12057, SO:0001217, UniRef:UniRef50_A0A024ELG4, UniRef:UniRef90_A0A0G4E5K3
pQBR132_contig_1	cds	50209	50511	-	PQBR132_00320		ISAzo13 family transposase	SO:0001217, UniRef:UniRef50_A0A1J0ETA2, UniRef:UniRef90_A0A1J0ETA2
pQBR132_contig_1	cds	50656	51714	-	PQBR132_00325		Tyr recombinase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1J0EU82, UniRef:UniRef90_A0A1J0EU82
pQBR132_contig_1	cds	52013	52474	-	PQBR132_00330		Phage protein	SO:0001217, UniRef:UniRef50_A0A1J0EU07, UniRef:UniRef90_A0A0G4E5N1
pQBR132_contig_1	cds	52440	53174	-	PQBR132_00335		LAGLIDADG-2 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1E4WV74, UniRef:UniRef90_A0A1E4WV74
pQBR132_contig_1	cds	53264	53548	-	PQBR132_00340		hypothetical protein	
pQBR132_contig_1	cds	53557	54684	-	PQBR132_00345		Prim-Zn-Ribbon domain-containing protein	SO:0001217, UniRef:UniRef50_A0A241XTG6, UniRef:UniRef90_A0A1J0ETG6
pQBR132_contig_1	cds	54834	54974	-	PQBR132_00350	copG	CopG family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A0G4E678, UniRef:UniRef90_A0A0G4E678
pQBR132_contig_1	cds	54984	55106	-	PQBR132_00355		ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A0G4E5U4
pQBR132_contig_1	cds	55319	55432	-	PQBR132_00360	metS	MetS family NSS transporter small subunit	SO:0001217, UniParc:UPI0006550D38, UniRef:UniRef100_A0A0G4E5N6, UniRef:UniRef50_A0A0G4E5N6, UniRef:UniRef90_A0A0G4E5N6
pQBR132_contig_1	cds	55486	55698	-	PQBR132_00365		ABC transporter permease	RefSeq:WP_141718315.1, SO:0001217, UniParc:UPI000B31FBDA, UniRef:UniRef100_A0A1E4WV88, UniRef:UniRef50_A0A1E4WV88, UniRef:UniRef90_A0A1E4WV88
pQBR132_contig_1	cds	56183	56878	-	PQBR132_00370		DUF4299 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1E4WVB0, UniRef:UniRef90_A0A1E4WVB0
pQBR132_contig_1	cds	56991	57719	-	PQBR132_00375		Phosducin domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1J0EUD3, UniRef:UniRef90_A0A1E4WVK7
pQBR132_contig_1	cds	57786	58166	-	PQBR132_00380		Nif11 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1J0ETB2, UniRef:UniRef90_A0A1E4WV71
pQBR132_contig_1	cds	58393	58614	-	PQBR132_00385		Cadherin domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1E4WVD2, UniRef:UniRef90_UPI001595BE75
pQBR132_contig_1	cds	58633	59514	-	PQBR132_00390		DNA adenine modification methylase	SO:0001217, UniRef:UniRef50_A0A0D5MAU1, UniRef:UniRef90_A0A0G4E5L7
