Name,Product,Colour
g0018,Programmed cell death protein,#6D92E2
g0024,Thioredoxin-like-fold domain-containing protein,#4991F5
g0030,Flp pilus assembly protein CpaB,#7892DB
g0226,Holin,#000000
g0232,Tyr recombinase domain-containing protein,#3B90F9
g0193,Transposase,#000000
g0187,AbiEi antitoxin of type IV toxin-antitoxin system,#000000
g0144,Tn3 family transposase,#000000
g0151,Nucleotidyltransferase,#000000
g0179,Type VI secretion system protein TssA,#8193D3
g0186,DUF1232 domain-containing protein,#000000
g0233,CYTOSOL-AP domain-containing protein,#3D90F8
g0227,Myo-inositol-1(Or 4)-monophosphatase,#5A91ED
g0031,Iron ABC transporter permease,#4190F7
g0025,mercury(II) reductase,#171F30
g0019,CBS domain-containing protein,#3090FC
g0033,DNA adenine modification methylase,#7092E0
g0027,Thiol:disulfide interchange protein,#7C93D7
g0231,ANTAR domain-containing protein,#000000
g0190,metal-sensing transcriptional repressor MreA,#000000
g0147,Phosphoglycerol transferase MdoB/OpgB%2C AlkP superfamily,#000000
g0153,IS5 family transposase,#000000
g0152,hypothetical protein,#2188F1
g0146,Putative RTX toxin,#182337
g0185,IS3 family ISPpu33 transposase ORF A,#000000
g0230,DUF3265 domain-containing protein,#000000
g0218,VbhA domain-containing protein,#000000
g0026,YqaJ domain-containing protein,#4E91F2
g0032,Flagellar transcriptional activator FlhC,#6A92E4
g0036,DUF1845 domain-containing protein,#3090FC
g0022,AAA domain-containing protein,#5591EF
g0234,hypothetical protein,#4590F6
g0208,DUF1330 domain-containing protein,#5291F1
g0195,tRNA-synt-2c domain-containing protein,#3590FB
g0142,CopG family transcriptional regulator,#7692DC
g0156,IS3 family ISPpu33 transposase ORF B,#000000
g0143,ABC transporter ATP-binding protein,#9594C0
g0194,Transcriptional regulator,#000000
g0235,Amino acid adenylation,#000000
g0023,ARID domain-containing protein,#5B91EC
g0037,Recombinase RecT,#6F92E1
g0021,Replication initiator protein,#AC98A0
g0035,IncF plasmid conjugative transfer pilus assembly protein TraB,#8A94CB
g0009,IS66 family transposase,#000000
g0237,hypothetical protein,#000000
g0182,PaREP8,#000000
g0155,Site-specific recombinase XerD,#000000
g0141,Secreted protein,#7E93D6
g0169,Phage holin%2C lambda family,#2090FF
g0168,Diacylglycerol kinase,#000000
g0140,carbon storage regulator CsrA,#5B91ED
g0154,Tn4652 cointegrate resolution protein,#000000
g0183,DUF6388 domain-containing protein,#9194C4
g0197,Methyl-accepting chemotaxis protein,#000000
g0222,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,#000000
g0008,Transposase,#000000
g0034,putative transcriptional regulators,#5491F0
g0020,Conjugal transfer protein,#4F91F2
g0084,AlbA-2 domain-containing protein,#8093D4
g0090,DUF3267 domain-containing protein,#9294C3
g0047,Phage protein,#5091F2
g0053,DUF2189 domain-containing protein,#6B92E4
g0133,Lipid II flippase MurJ,#AB97A3
g0127,PKS-DH domain-containing protein,#8F94C7
g0126,DUF1294 domain-containing protein,#8B94CA
g0132,DUF29 domain-containing protein,#9695BF
g0052,IncF plasmid conjugative transfer pilus assembly protein TraK,#6091EA
g0046,DUF2383 domain-containing protein,#5B91ED
g0091,Protein-disulfide isomerase,#9494C1
g0085,Tyr recombinase domain-containing protein,#8E94C7
g0093,ThiF family protein%2C ubiquitin-activating enzyme,#6C92E3
g0087,DNA replication terminus site-binding protein,#6791E6
g0078,VWFA domain-containing protein,#8E94C7
g0050,Lipoprotein,#4991F4
g0044,ALP-N domain-containing protein,#7492DD
g0118,TraR/DksA C4-type zinc finger protein,#4691F5
g0124,DNA-binding protein,#AF989C
g0130,DUF899 domain-containing protein,#BD9B82
g0131,hypothetical protein,#9995BB
g0125,DUF4065 domain-containing protein,#7292DF
g0119,Phage tail protein,#A596AB
g0045,PDDEXK-1 domain-containing protein,#6091EA
g0051,Transposase,#8493D0
g0079,DNA helicase,#9C95B7
g0086,IncF plasmid conjugative transfer pilus assembly protein TraF,#9C95B8
g0092,Protein p12,#8793CE
g0096,PRTRC system protein B,#7992DA
g0082,DNA polymerase IV,#D3A247
g0055,SLT domain-containing protein,#5F91EA
g0041,Integrase,#5B91ED
g0069,Transmembrane protein,#8193D3
g0121,Centromere protein L,#8B94CA
g0135,M3 family oligoendopeptidase,#C79E6A
g0109,PRTRC system protein E,#6291E9
g0108,Cytochrome P450,#E2AB21
g0134,Lipoprotein,#A096B2
g0120,DUF5056 domain-containing protein,#AF989D
g0068,hypothetical protein,#9594C0
g0040,ABC transporter permease,#6D92E3
g0054,Prim-Zn-Ribbon domain-containing protein,#6A92E4
g0083,IncF plasmid conjugative transfer pilus assembly protein TraW,#A396AE
g0097,DUF4299 domain-containing protein,#9094C5
g0081,replicative DNA helicase,#D3A246
g0095,Phosducin domain-containing protein,#6C92E3
g0042,Conjugal transfer protein TraU,#8793CE
g0056,replicative DNA helicase,#8B94CA
g0136,Conserved hypothethical protein,#E0AA21
g0122,M20/M25/M40 family metallo-hydrolase,#DBA520
g0123,Nif11 domain-containing protein,#6791E6
g0137,DUF2767 domain-containing protein,#D1A14B
g0057,TraG-N domain-containing protein,#8F94C6
g0043,PRTRC system protein C,#6291E9
g0094,LAGLIDADG-2 domain-containing protein,#7392DE
g0080,YcaO domain-containing protein,#7192E0
g0099,Methylase-S domain-containing protein,#7C93D7
g0066,Acetyltransferase%2C GNAT family,#AD98A0
g0072,CopG family transcriptional regulator,#DDA720
g0112,Phage protein,#6191E9
g0106,Phage protein,#8293D2
