#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQBR57R_contig_1	16425	16994	+	PQBR57R_00135	20.4	8.6		SO:0001217, UniRef:UniRef50_UPI0018675808, UniRef:UniRef90_UPI0018675808
pQBR57R_contig_1	18321	18689	+	PQBR57R_00150	12.7	8.6		
pQBR57R_contig_1	20146	20364	+	PQBR57R_00170	8.4	10.5		
pQBR57R_contig_1	49439	49537	+	PQBR57R_00290	3.6	8.4		
pQBR57R_contig_1	93960	94199	+	PQBR57R_00495	9.0	5.7		
pQBR57R_contig_1	113102	113287	-	PQBR57R_00600	7.0	5.1		
pQBR57R_contig_1	120516	120734	-	PQBR57R_00640	7.7	10.8		
pQBR57R_contig_1	127630	127899	-	PQBR57R_00680	9.6	4.3		
pQBR57R_contig_1	141685	142191	+	PQBR57R_00785	18.0	11.3		
pQBR57R_contig_1	145936	146961	-	PQBR57R_00815	37.9	9.9		
pQBR57R_contig_1	147224	147352	-	PQBR57R_00825	4.6	11.7		RefSeq:WP_023082812.1, SO:0001217, UniParc:UPI0003B9732F, UniRef:UniRef100_A0A1H0XKA2, UniRef:UniRef50_A0A1H0XKA2, UniRef:UniRef90_A0A1H0XKA2
pQBR57R_contig_1	156715	156999	+	PQBR57R_00890	10.5	4.8		RefSeq:WP_192963310.1, SO:0001217, UniParc:UPI001867A904, UniRef:UniRef100_UPI001867A904, UniRef:UniRef50_UPI001867A904, UniRef:UniRef90_UPI001867A904
pQBR57R_contig_1	219015	219416	+	PQBR57R_01260	14.2	6.4		
pQBR57R_contig_1	224200	224466	+	PQBR57R_01290	10.4	6.1		RefSeq:WP_192963381.1, SO:0001217, UniParc:UPI0006557034, UniRef:UniRef100_A0A0G4E4U7, UniRef:UniRef50_A0A0G4E4U7, UniRef:UniRef90_A0A0G4E4U7
pQBR57R_contig_1	250726	250953	+	PQBR57R_01495	8.3	9.7		RefSeq:WP_192963417.1, SO:0001217, UniParc:UPI001868CA40, UniRef:UniRef100_UPI001868CA40, UniRef:UniRef50_UPI001868CA40, UniRef:UniRef90_UPI001868CA40
pQBR57R_contig_1	263609	263842	-	PQBR57R_01615	8.5	7.8		RefSeq:WP_192963439.1, SO:0001217, UniParc:UPI0018695D22, UniRef:UniRef100_UPI0018695D22, UniRef:UniRef50_UPI0018695D22, UniRef:UniRef90_UPI0018695D22
pQBR57R_contig_1	270706	270936	-	PQBR57R_01675	8.0	9.7		
pQBR57R_contig_1	271599	271847	+	PQBR57R_01690	9.6	9.7		
pQBR57R_contig_1	272684	272944	+	PQBR57R_01700	9.4	10.8		
pQBR57R_contig_1	281001	281105	-	PQBR57R_01775	3.5	8.5		
pQBR57R_contig_1	281508	281675	-	PQBR57R_01785	6.1	4.4		
pQBR57R_contig_1	291875	292399	-	PQBR57R_01875	18.4	6.7		
pQBR57R_contig_1	298113	298448	+	PQBR57R_01935	12.0	5.1		RefSeq:WP_192963494.1, SO:0001217, UniParc:UPI0018663920, UniRef:UniRef100_UPI0018663920, UniRef:UniRef50_UPI0018663920, UniRef:UniRef90_UPI0018663920
pQBR57R_contig_1	302021	302158	+	PQBR57R_01965	4.8	11.0		
pQBR57R_contig_1	321775	322455	-	PQBR57R_02095	24.8	11.1		
