#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQBR11d_contig_1	39459	39617	+	PQBR11D_00205	6.1	5.9		
pQBR11d_contig_1	50854	50979	-	PQBR11D_00280	4.3	5.5		
pQBR11d_contig_1	110869	111078	-	PQBR11D_00555	6.9	4.5		
pQBR11d_contig_1	112309	112446	+	PQBR11D_00570	4.8	6.0		
pQBR11d_contig_1	114029	114184	+	PQBR11D_00595	5.7	4.5		RefSeq:WP_234288219.1, SO:0001217, UniParc:UPI001F17EDEF, UniRef:UniRef100_UPI001F17EDEF, UniRef:UniRef50_UPI001F17EDEF, UniRef:UniRef90_UPI001F17EDEF
pQBR11d_contig_1	118478	118690	-	PQBR11D_00620	8.2	5.3		
pQBR11d_contig_1	144223	144774	-	PQBR11D_00750	20.3	4.9		
pQBR11d_contig_1	149439	149879	-	PQBR11D_00785	16.1	5.2		
pQBR11d_contig_1	174440	174868	-	PQBR11D_00925	15.8	4.9		
pQBR11d_contig_1	198067	198300	+	PQBR11D_01060	8.4	6.0		RefSeq:WP_193069103.1, SO:0001217, UniParc:UPI0018676085, UniRef:UniRef100_UPI0018676085, UniRef:UniRef50_UPI0018676085, UniRef:UniRef90_UPI0018676085
pQBR11d_contig_1	219589	220017	-	PQBR11D_01200	15.8	4.4		RefSeq:WP_193069118.1, SO:0001217, UniParc:UPI00186696EF, UniRef:UniRef100_UPI00186696EF, UniRef:UniRef50_UPI00186696EF, UniRef:UniRef90_UPI00186696EF
pQBR11d_contig_1	220044	220679	-	PQBR11D_01205	22.4	6.0		SO:0001217, UniRef:UniRef50_UPI0003027605, UniRef:UniRef90_UPI0003027605
pQBR11d_contig_1	221064	221381	-	PQBR11D_01215	12.0	9.7		RefSeq:WP_193069121.1, SO:0001217, UniParc:UPI00186740E3, UniRef:UniRef100_UPI00186740E3, UniRef:UniRef50_A0A166QN72, UniRef:UniRef90_UPI00186740E3
pQBR11d_contig_1	221812	222021	+	PQBR11D_01220	6.9	4.5		
pQBR11d_contig_1	228176	228271	-	PQBR11D_01255	3.5	10.8		
pQBR11d_contig_1	258221	258394	-	PQBR11D_01435	6.4	9.2		
pQBR11d_contig_1	276492	276680	+	PQBR11D_01540	6.6	8.8		
pQBR11d_contig_1	284811	284996	+	PQBR11D_01615	6.7	8.1		RefSeq:WP_193068968.1, SO:0001217, UniParc:UPI001867877B, UniRef:UniRef100_UPI001867877B, UniRef:UniRef50_A0A3M3DPV0, UniRef:UniRef90_UPI001867877B
pQBR11d_contig_1	287548	287709	-	PQBR11D_01640	5.7	5.8		RefSeq:WP_193068971.1, SO:0001217, UniParc:UPI00186823AD, UniRef:UniRef100_UPI00186823AD, UniRef:UniRef50_UPI00186823AD, UniRef:UniRef90_UPI00186823AD
pQBR11d_contig_1	297536	297694	-	PQBR11D_01720	5.9	11.3		RefSeq:WP_193068978.1, SO:0001217, UniParc:UPI001865CA54, UniRef:UniRef100_UPI001865CA54, UniRef:UniRef50_UPI001865CA54, UniRef:UniRef90_UPI001865CA54
pQBR11d_contig_1	299823	299921	+	PQBR11D_01745	3.5	8.0		
pQBR11d_contig_1	323327	323440	+	PQBR11D_01950	4.3	6.5		
pQBR11d_contig_1	355740	356729	+	PQBR11D_02230	36.3	10.2	PF13384.9|HTH_23	PFAM:PF13384.9
pQBR11d_contig_1	381659	381805	+	PQBR11D_02425	5.3	8.3		
