#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQBR106_contig_1	41348	41488	+	PQBR106_00220	5.0	4.9		
pQBR106_contig_1	44469	44588	-	PQBR106_00240	4.5	8.9		
pQBR106_contig_1	90423	90674	-	PQBR106_00440	9.6	9.5		SO:0001217, UniParc:UPI00089C90CC, UniRef:UniRef100_A0A2J7YAK7, UniRef:UniRef50_A0A2J7YAK7, UniRef:UniRef90_A0A2J7YAK7
pQBR106_contig_1	148932	149228	+	PQBR106_00715	10.4	9.7		
pQBR106_contig_1	777927	778112	+	PQBR106_03600	6.7	10.4		
pQBR106_contig_1	818035	818193	+	PQBR106_03835	5.8	9.0		
pQBR106_contig_1	819259	819396	-	PQBR106_03850	5.2	4.5		
pQBR106_contig_1	827650	828357	+	PQBR106_03910	25.8	6.1	PF04828.17|GFA	PFAM:PF04828.17
pQBR106_contig_1	856445	857266	-	PQBR106_04045	29.6	11.7		
pQBR106_contig_1	946533	946820	+	PQBR106_04510	10.7	9.0		
pQBR106_contig_1	1344832	1344927	-	PQBR106_06275	3.5	5.1		
pQBR106_contig_1	1344903	1345034	-	PQBR106_06280	4.8	4.3		SO:0001217, UniRef:UniRef50_A0A2I0CC34, UniRef:UniRef90_A0A2I0CC34
pQBR106_contig_1	1350487	1350681	-	PQBR106_06315	7.1	9.2		
pQBR106_contig_1	1403295	1403759	+	PQBR106_06550	16.7	8.8		
pQBR106_contig_1	1403885	1404190	+	PQBR106_06555	11.0	5.5		
pQBR106_contig_1	1438095	1438697	+	PQBR106_06715	19.7	4.4		SO:0001217, UniParc:UPI000000EE08, UniRef:UniRef100_Q88NL4, UniRef:UniRef50_A0A2J7YLG3, UniRef:UniRef90_A0A2J7YLG3
pQBR106_contig_1	1499823	1500560	-	PQBR106_07045	26.8	11.6		
pQBR106_contig_1	2087338	2087811	+	PQBR106_09840	17.2	9.0		
pQBR106_contig_1	2233209	2233403	-	PQBR106_10500	7.2	4.5		
pQBR106_contig_1	2288734	2288892	-	PQBR106_10760	5.9	10.6		
pQBR106_contig_1	2372946	2373107	+	PQBR106_11165	5.7	10.3		
pQBR106_contig_1	2485333	2485530	+	PQBR106_11630	7.5	10.6		RefSeq:WP_010953112.1, SO:0001217, UniParc:UPI000000F18D, UniRef:UniRef100_A0A8F8G3X9, UniRef:UniRef50_A0A5F0W966, UniRef:UniRef90_A0A8F8G3X9
pQBR106_contig_1	2531004	2531249	+	PQBR106_11830	8.6	5.9		
pQBR106_contig_1	2601292	2601660	+	PQBR106_12155	13.6	10.1		RefSeq:WP_010953198.1, SO:0001217, UniParc:UPI000000F1F3, UniRef:UniRef100_Q88KS1, UniRef:UniRef50_A0A136QMN0, UniRef:UniRef90_Q88KS1
pQBR106_contig_1	2692199	2692288	-	PQBR106_12625	3.3	6.7		
pQBR106_contig_1	2694791	2694979	+	PQBR106_12650	7.4	7.0		
pQBR106_contig_1	2791326	2791553	-	PQBR106_13095	8.4	8.8		RefSeq:WP_003250422.1, SO:0001217, UniParc:UPI00005FB62E, UniRef:UniRef100_I3UPD8, UniRef:UniRef50_A0A8H2NZ86, UniRef:UniRef90_Q1I8A1
pQBR106_contig_1	2920045	2920209	-	PQBR106_13790	5.9	7.9		
pQBR106_contig_1	2930058	2931626	-	PQBR106_13855	56.8	11.3		
pQBR106_contig_1	3286547	3286765	+	PQBR106_15355	7.5	9.4		
pQBR106_contig_1	3405539	3406033	+	PQBR106_15925	18.4	10.0		
pQBR106_contig_1	3436076	3436204	+	PQBR106_16100	4.6	11.7		RefSeq:WP_023082812.1, SO:0001217, UniParc:UPI0003B9732F, UniRef:UniRef100_A0A1H0XKA2, UniRef:UniRef50_A0A1H0XKA2, UniRef:UniRef90_A0A1H0XKA2
pQBR106_contig_1	3441237	3441773	-	PQBR106_16140	19.0	11.3		
pQBR106_contig_1	3566769	3567311	+	PQBR106_16870	20.7	10.8		
pQBR106_contig_1	3585654	3585896	-	PQBR106_16975	8.8	10.3		
pQBR106_contig_1	3588669	3588932	-	PQBR106_17000	9.6	4.5		
pQBR106_contig_1	3600380	3600508	+	PQBR106_17055	4.7	11.7		
