allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)	cluster	cluster_order	pQBR103	pQBR106p	pQBR11d	pQBR124	pQBR4	pQBR43	pQBR44d	pQBR47p	pQBR49	pQBR5	pQBR50d	pQG1rel01	pQG1rel02	pQG1rel03	pQG1rel04	pQG1rel05	pQG1rel06	pQG1rel07	pQG1rel08	pQG1rel09
g0302_0003	g0302	NA	HTH araC/xylS-type domain-containing protein	80	3	20	1	1	1	0	0	0	0	20	HTH araC/xylS-type domain-containing protein(15):DUF4158 domain-containing protein(5)	NA(20)	375	375	375.00	1	1	pQBR103_00497	pQBR106p_00101	pQBR11d_00516	pQBR124_00504	pQBR4_00615	pQBR43_00571	pQBR44d_00123	pQBR47p_00296	pQBR49_00626	pQBR5_00547	pQBR50d_00641	pQG1rel01_00497	pQG1rel02_00418	pQG1rel03_00418	pQG1rel04_00602	pQG1rel05_00504	pQG1rel06_00510	pQG1rel07_00504	pQG1rel08_00547	pQG1rel09_00496
g0084_0004	g0084	NA	DUF1611 domain-containing protein	90	4	20	1	1	1	0	0	0	0	20	DUF1611 domain-containing protein(15):Orotate phosphoribosyltransferase(5)	NA(20)	879	879	879.00	1	2	pQBR103_00498	pQBR106p_00102	pQBR11d_00517	pQBR124_00505	pQBR4_00616	pQBR43_00572	pQBR44d_00124	pQBR47p_00297	pQBR49_00627	pQBR5_00548	pQBR50d_00642	pQG1rel01_00498	pQG1rel02_00419	pQG1rel03_00419	pQG1rel04_00603	pQG1rel05_00505	pQG1rel06_00511	pQG1rel07_00505	pQG1rel08_00548	pQG1rel09_00497
g0191_0005	g0191	NA	DNA helicase	95	3	20	1	1	1	0	0	0	0	20	DNA helicase(20)	NA(20)	1494	1494	1494.00	1	3	pQBR103_00499	pQBR106p_00103	pQBR11d_00518	pQBR124_00506	pQBR4_00617	pQBR43_00573	pQBR44d_00125	pQBR47p_00298	pQBR49_00628	pQBR5_00549	pQBR50d_00643	pQG1rel01_00499	pQG1rel02_00420	pQG1rel03_00420	pQG1rel04_00604	pQG1rel05_00506	pQG1rel06_00512	pQG1rel07_00506	pQG1rel08_00549	pQG1rel09_00498
g0086_0004	g0086	NA	MOSC domain-containing protein	90	4	20	1	1	1	0	0	0	0	20	MOSC domain-containing protein(15):Radical SAM protein(5)	NA(20)	720	864	807.75	1	4	pQBR103_00500	pQBR106p_00104	pQBR11d_00519	pQBR124_00507	pQBR4_00618	pQBR43_00574	pQBR44d_00126	pQBR47p_00299	pQBR49_00629	pQBR5_00550	pQBR50d_00644	pQG1rel01_00500	pQG1rel02_00421	pQG1rel03_00421	pQG1rel04_00605	pQG1rel05_00507	pQG1rel06_00513	pQG1rel07_00507	pQG1rel08_00550	pQG1rel09_00499
g0190_0004	g0190	NA	DUF4942 domain-containing protein	90	3	20	1	1	1	0	0	0	0	20	DUF4942 domain-containing protein(20)	NA(20)	1602	1602	1602.00	1	5	pQBR103_00501	pQBR106p_00105	pQBR11d_00520	pQBR124_00508	pQBR4_00619	pQBR43_00575	pQBR44d_00127	pQBR47p_00300	pQBR49_00630	pQBR5_00551	pQBR50d_00645	pQG1rel01_00501	pQG1rel02_00422	pQG1rel03_00422	pQG1rel04_00606	pQG1rel05_00508	pQG1rel06_00514	pQG1rel07_00508	pQG1rel08_00551	pQG1rel09_00500
g0241_0005	g0241	NA	OmpA-like domain-containing protein	95	3	20	1	1	1	0	0	0	0	20	OmpA-like domain-containing protein(20)	NA(20)	663	663	663.00	1	6	pQBR103_00502	pQBR106p_00106	pQBR11d_00521	pQBR124_00509	pQBR4_00620	pQBR43_00576	pQBR44d_00128	pQBR47p_00301	pQBR49_00631	pQBR5_00552	pQBR50d_00646	pQG1rel01_00502	pQG1rel02_00423	pQG1rel03_00423	pQG1rel04_00607	pQG1rel05_00509	pQG1rel06_00515	pQG1rel07_00509	pQG1rel08_00552	pQG1rel09_00501
g0425_0005	g0425	NA	DUF882 domain-containing protein	95	2	20	1	1	1	0	0	0	0	20	DUF882 domain-containing protein(20)	NA(20)	708	750	718.50	1	7	pQBR103_00503	pQBR106p_00107	pQBR11d_00522	pQBR124_00510	pQBR4_00621	pQBR43_00577	pQBR44d_00129	pQBR47p_00302	pQBR49_00632	pQBR5_00553	pQBR50d_00647	pQG1rel01_00503	pQG1rel02_00424	pQG1rel03_00424	pQG1rel04_00608	pQG1rel05_00510	pQG1rel06_00516	pQG1rel07_00510	pQG1rel08_00553	pQG1rel09_00502
g0104_0003	g0104	NA	DUF1330 domain-containing protein	80	4	20	1	1	1	0	0	0	0	20	DUF1330 domain-containing protein(15):Chlorite dismutase(5)	NA(20)	648	648	648.00	1	8	pQBR103_00504	pQBR106p_00108	pQBR11d_00523	pQBR124_00511	pQBR4_00622	pQBR43_00578	pQBR44d_00130	pQBR47p_00303	pQBR49_00633	pQBR5_00554	pQBR50d_00648	pQG1rel01_00504	pQG1rel02_00425	pQG1rel03_00425	pQG1rel04_00609	pQG1rel05_00511	pQG1rel06_00517	pQG1rel07_00511	pQG1rel08_00554	pQG1rel09_00503
g0379_0005	g0379	NA	DNA-LIGASE-A3 domain-containing protein	95	2	20	1	1	1	0	0	0	0	20	DNA-LIGASE-A3 domain-containing protein(20)	NA(20)	1257	1374	1362.30	1	9	pQBR103_00505	pQBR106p_00109	pQBR11d_00524	pQBR124_00512	pQBR4_00623	pQBR43_00579	pQBR44d_00131	pQBR47p_00304	pQBR49_00634	pQBR5_00555	pQBR50d_00649	pQG1rel01_00505	pQG1rel02_00426	pQG1rel03_00426	pQG1rel04_00610	pQG1rel05_00512	pQG1rel06_00518	pQG1rel07_00512	pQG1rel08_00555	pQG1rel09_00504
g0270_0003	g0270	NA	Transmembrane protein	80	3	20	1	1	1	0	0	0	0	20	Transmembrane protein(15):DUF2178 domain-containing protein(5)	NA(20)	441	474	470.70	1	10	pQBR103_00506	pQBR106p_00110	pQBR11d_00525	pQBR124_00513	pQBR4_00624	pQBR43_00580	pQBR44d_00132	pQBR47p_00305	pQBR49_00635	pQBR5_00556	pQBR50d_00650	pQG1rel01_00506	pQG1rel02_00437	pQG1rel03_00437	pQG1rel04_00611	pQG1rel05_00513	pQG1rel06_00519	pQG1rel07_00513	pQG1rel08_00556	pQG1rel09_00505
g0240_0004	g0240	ybjN	YbjN domain-containing protein	90	3	20	1	1	1	0	0	0	0	20	YbjN domain-containing protein(20)	ybjN(20)	534	678	548.40	1	11	pQBR103_00508	pQBR106p_00112	pQBR11d_00526	pQBR124_00515	pQBR4_00626	pQBR43_00582	pQBR44d_00134	pQBR47p_00307	pQBR49_00637	pQBR5_00558	pQBR50d_00652	pQG1rel01_00508	pQG1rel02_00438	pQG1rel03_00438	pQG1rel04_00612	pQG1rel05_00514	pQG1rel06_00520	pQG1rel07_00514	pQG1rel08_00557	pQG1rel09_00506
g0167_0003	g0167	NA	Transcriptional regulator	80	4	20	1	1	1	0	0	0	0	20	Transcriptional regulator(20)	NA(20)	243	249	244.50	1	12	pQBR103_00509	pQBR106p_00113	pQBR11d_00527	pQBR124_00516	pQBR4_00627	pQBR43_00583	pQBR44d_00135	pQBR47p_00308	pQBR49_00638	pQBR5_00559	pQBR50d_00653	pQG1rel01_00509	pQG1rel02_00439	pQG1rel03_00439	pQG1rel04_00613	pQG1rel05_00515	pQG1rel06_00521	pQG1rel07_00515	pQG1rel08_00558	pQG1rel09_00507
g0169_0004	g0169	NA	DUF2185 domain-containing protein	90	4	20	1	1	1	0	0	0	0	20	DUF2185 domain-containing protein(20)	NA(20)	231	231	231.00	1	13	pQBR103_00510	pQBR106p_00114	pQBR11d_00528	pQBR124_00517	pQBR4_00628	pQBR43_00584	pQBR44d_00136	pQBR47p_00309	pQBR49_00639	pQBR5_00560	pQBR50d_00654	pQG1rel01_00510	pQG1rel02_00440	pQG1rel03_00440	pQG1rel04_00614	pQG1rel05_00516	pQG1rel06_00522	pQG1rel07_00516	pQG1rel08_00559	pQG1rel09_00508
g0337_0004	g0337	NA	Restriction endonuclease subunit S	90	3	20	1	1	1	0	0	0	0	20	Restriction endonuclease subunit S(20)	NA(20)	180	255	243.75	1	14	pQBR103_00511	pQBR106p_00115	pQBR11d_00529	pQBR124_00518	pQBR4_00629	pQBR43_00585	pQBR44d_00137	pQBR47p_00310	pQBR49_00640	pQBR5_00561	pQBR50d_00655	pQG1rel01_00511	pQG1rel02_00441	pQG1rel03_00441	pQG1rel04_00615	pQG1rel05_00517	pQG1rel06_00523	pQG1rel07_00517	pQG1rel08_00560	pQG1rel09_00509
g0111_0003	g0111	NA	Peptidase-M78 domain-containing protein	80	4	20	1	1	1	0	0	0	0	20	Peptidase-M78 domain-containing protein(15):Peptidase-M4-C domain-containing protein(5)	NA(20)	576	576	576.00	1	15	pQBR103_00512	pQBR106p_00116	pQBR11d_00530	pQBR124_00519	pQBR4_00630	pQBR43_00586	pQBR44d_00138	pQBR47p_00311	pQBR49_00641	pQBR5_00562	pQBR50d_00656	pQG1rel01_00512	pQG1rel02_00442	pQG1rel03_00442	pQG1rel04_00616	pQG1rel05_00518	pQG1rel06_00524	pQG1rel07_00518	pQG1rel08_00561	pQG1rel09_00510
g0118_0004	g0118	NA	HD domain-containing protein	90	4	20	1	1	1	0	0	0	0	20	HD domain-containing protein(20)	NA(20)	528	528	528.00	1	16	pQBR103_00513	pQBR106p_00117	pQBR11d_00531	pQBR124_00520	pQBR4_00631	pQBR43_00587	pQBR44d_00139	pQBR47p_00312	pQBR49_00642	pQBR5_00563	pQBR50d_00657	pQG1rel01_00513	pQG1rel02_00443	pQG1rel03_00443	pQG1rel04_00617	pQG1rel05_00519	pQG1rel06_00525	pQG1rel07_00519	pQG1rel08_00562	pQG1rel09_00511
g0017_0003	g0017	NA	DUF551 domain-containing protein	80	6	20	1	1	1	0	0	0	0	20	DUF551 domain-containing protein(20)	NA(20)	414	474	417.00	1	17	pQBR103_00514	pQBR106p_00118	pQBR11d_00532	pQBR124_00521	pQBR4_00632	pQBR43_00588	pQBR44d_00140	pQBR47p_00313	pQBR49_00643	pQBR5_00564	pQBR50d_00658	pQG1rel01_00514	pQG1rel02_00444	pQG1rel03_00444	pQG1rel04_00618	pQG1rel05_00520	pQG1rel06_00526	pQG1rel07_00520	pQG1rel08_00563	pQG1rel09_00512
g0114_0003	g0114	NA	Single-stranded DNA-binding protein	80	4	20	1	1	1	0	0	0	0	20	Single-stranded DNA-binding protein(20)	NA(20)	549	552	551.25	1	18	pQBR103_00515	pQBR106p_00119	pQBR11d_00533	pQBR124_00522	pQBR4_00633	pQBR43_00589	pQBR44d_00141	pQBR47p_00314	pQBR49_00644	pQBR5_00565	pQBR50d_00659	pQG1rel01_00515	pQG1rel02_00445	pQG1rel03_00445	pQG1rel04_00619	pQG1rel05_00521	pQG1rel06_00527	pQG1rel07_00521	pQG1rel08_00564	pQG1rel09_00513
g0321_0004	g0321	NA	Lipoprotein	90	3	20	1	1	1	0	0	0	0	20	Lipoprotein(20)	NA(20)	315	315	315.00	1	19	pQBR103_00517	pQBR106p_00121	pQBR11d_00535	pQBR124_00524	pQBR4_00635	pQBR43_00591	pQBR44d_00143	pQBR47p_00315	pQBR49_00646	pQBR5_00567	pQBR50d_00661	pQG1rel01_00517	pQG1rel02_00447	pQG1rel03_00447	pQG1rel04_00621	pQG1rel05_00523	pQG1rel06_00528	pQG1rel07_00523	pQG1rel08_00566	pQG1rel09_00515
g0401_0004	g0401	NA	Exported protein	90	2	20	1	1	1	0	0	0	0	20	Exported protein(20)	NA(20)	1038	1038	1038.00	1	20	pQBR103_00518	pQBR106p_00122	pQBR11d_00536	pQBR124_00525	pQBR4_00636	pQBR43_00592	pQBR44d_00144	pQBR47p_00316	pQBR49_00647	pQBR5_00568	pQBR50d_00662	pQG1rel01_00518	pQG1rel02_00448	pQG1rel03_00448	pQG1rel04_00622	pQG1rel05_00524	pQG1rel06_00529	pQG1rel07_00524	pQG1rel08_00567	pQG1rel09_00516
g0288_0003	g0288	NA	Tetratricopeptide repeat protein	80	3	20	1	1	1	0	0	0	0	20	Tetratricopeptide repeat protein(15):Secreted protein(5)	NA(20)	423	423	423.00	2	1	pQBR103_00550	pQBR106p_00144	pQBR11d_00558	pQBR124_00547	pQBR4_00658	pQBR43_00614	pQBR44d_00191	pQBR47p_00338	pQBR49_00712	pQBR5_00590	pQBR50d_00684	pQG1rel01_00550	pQG1rel02_00473	pQG1rel03_00473	pQG1rel04_00644	pQG1rel05_00545	pQG1rel06_00551	pQG1rel07_00545	pQG1rel08_00589	pQG1rel09_00537
g0568_0004	g0568	csrA	carbon storage regulator CsrA	90	2	20	1	1	1	0	0	0	0	20	carbon storage regulator CsrA(20)	csrA(20)	189	189	189.00	2	2	pQBR103_00549	pQBR106p_00143	pQBR11d_00557	pQBR124_00546	pQBR4_00657	pQBR43_00613	pQBR44d_00190	pQBR47p_00337	pQBR49_00711	pQBR5_00589	pQBR50d_00683	pQG1rel01_00549	pQG1rel02_00472	pQG1rel03_00472	pQG1rel04_00643	pQG1rel05_00544	pQG1rel06_00550	pQG1rel07_00544	pQG1rel08_00588	pQG1rel09_00536
g0283_0004	g0283	NA	Lipoprotein	90	2	20	1	1	1	0	0	0	0	20	Lipoprotein(20)	NA(20)	396	435	399.90	2	3	pQBR103_00548	pQBR106p_00142	pQBR11d_00556	pQBR124_00545	pQBR4_00656	pQBR43_00612	pQBR44d_00189	pQBR47p_00336	pQBR49_00710	pQBR5_00588	pQBR50d_00682	pQG1rel01_00548	pQG1rel02_00471	pQG1rel03_00471	pQG1rel04_00642	pQG1rel05_00543	pQG1rel06_00549	pQG1rel07_00543	pQG1rel08_00587	pQG1rel09_00535
