#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
pQBR47p_contig_1	50861	50986	-	PQBR47P_00270	4.3	5.5		
pQBR47p_contig_1	110876	111085	-	PQBR47P_00545	6.9	4.5		
pQBR47p_contig_1	112316	112453	+	PQBR47P_00560	4.8	6.0		
pQBR47p_contig_1	114036	114191	+	PQBR47P_00585	5.7	4.5		RefSeq:WP_234288219.1, SO:0001217, UniParc:UPI001F17EDEF, UniRef:UniRef100_UPI001F17EDEF, UniRef:UniRef50_UPI001F17EDEF, UniRef:UniRef90_UPI001F17EDEF
pQBR47p_contig_1	138749	139159	-	PQBR47P_00705	14.9	4.9		
pQBR47p_contig_1	161084	161278	-	PQBR47P_00820	6.6	4.5		
pQBR47p_contig_1	183799	183918	+	PQBR47P_00945	4.5	8.9		
pQBR47p_contig_1	237065	237211	+	PQBR47P_01280	5.4	8.3		
pQBR47p_contig_1	247411	247575	-	PQBR47P_01355	5.6	9.4		SO:0001217, UniRef:UniRef50_UPI0009F497D4, UniRef:UniRef90_UPI0009F497D4
pQBR47p_contig_1	259159	259752	-	PQBR47P_01440	21.6	9.1		
pQBR47p_contig_1	274336	274614	-	PQBR47P_01530	10.1	10.8		
