# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
pQG3rel06_contig_1	cds	1	1524	+	pQG3rel06_00005	dnaB	replicative DNA helicase	SO:0001217, UniRef:UniRef50_A0A522M6A2, UniRef:UniRef90_UPI001B33B480
pQG3rel06_contig_1	cds	1609	3006	+	pQG3rel06_00010	dnaB	replicative DNA helicase	COG:COG0305, COG:L, SO:0001217, UniRef:UniRef50_A0A0H3YZB3, UniRef:UniRef90_A0A7X2RT33
pQG3rel06_contig_1	cds	3424	3978	+	pQG3rel06_00015	iclR	IclR family transcriptional regulator	SO:0001217, UniRef:UniRef50_S2F660, UniRef:UniRef90_UPI0006CC610D
pQG3rel06_contig_1	cds	4054	4227	+	pQG3rel06_00020		hypothetical protein	
pQG3rel06_contig_1	cds	4278	4460	+	pQG3rel06_00025		Peptide chain release factor 2	SO:0001217, UniRef:UniRef50_A0A0D5MA93, UniRef:UniRef90_UPI001B339DC2
pQG3rel06_contig_1	cds	4482	4721	+	pQG3rel06_00030		hypothetical protein	
pQG3rel06_contig_1	cds	4818	4991	+	pQG3rel06_00035		hypothetical protein	
pQG3rel06_contig_1	cds	5092	5421	+	pQG3rel06_00040		hypothetical protein	
pQG3rel06_contig_1	cds	5513	5761	+	pQG3rel06_00045		EAL domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1G8RT50, UniRef:UniRef90_A0A1G8RT50
pQG3rel06_contig_1	cds	5915	6079	+	pQG3rel06_00050		NUDIX hydrolase	SO:0001217, UniRef:UniRef50_A0A7M1K9N0, UniRef:UniRef90_UPI001916CA68
pQG3rel06_contig_1	cds	6168	6362	+	pQG3rel06_00055		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A0Q6YWI8, UniRef:UniRef90_A0A6I1NRT1
pQG3rel06_contig_1	cds	6379	6855	+	pQG3rel06_00060		N-acetyltransferase	SO:0001217, UniRef:UniRef50_A0A0C2S1K1, UniRef:UniRef90_UPI001B32DD94
pQG3rel06_contig_1	cds	6951	7223	+	pQG3rel06_00065		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A0P9QGV1, UniRef:UniRef90_A0A0P9KL19
pQG3rel06_contig_1	cds	7447	8343	+	pQG3rel06_00070		N-acetyltransferase	SO:0001217, UniRef:UniRef50_A0A2G9KTV6
pQG3rel06_contig_1	cds	8633	9121	+	pQG3rel06_00075		DUF4375 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1L7NP78, UniRef:UniRef90_UPI001B330585
pQG3rel06_contig_1	cds	9294	9521	+	pQG3rel06_00080		hypothetical protein	
pQG3rel06_contig_1	cds	9417	10508	-	pQG3rel06_00085		ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A1J0EU49, UniRef:UniRef90_UPI0007DAB438
pQG3rel06_contig_1	cds	10594	10830	-	pQG3rel06_00090		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0006CC216C, UniRef:UniRef90_UPI0006CC216C
pQG3rel06_contig_1	cds	10943	11590	-	pQG3rel06_00095		HEPN-Cthe2314 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1J0EV60, UniRef:UniRef90_A0A1E4X580
