Name,Product,Colour
g0018,Addiction module protein,#2A90FD
g0024,TNase-like domain-containing protein,#000000
g0030,Transcriptional regulator,#276AB8
g0583,3HCDH domain-containing protein,#4290F7
g0597,DUF222 domain-containing protein,#3590FB
g0568,Regulatory protein,#000000
g0540,Aminoacyl-tRNA hydrolase,#2A90FD
g0226,TraG-N domain-containing protein,#3890FA
g0232,Radical SAM protein,#000000
g0554,DUF1232 domain-containing protein,#000000
g0391,DUF998 domain-containing protein,#000000
g0352,EAL domain-containing protein,#000000
g0346,DUF89 domain-containing protein,#000000
g0420,Putative transmembrane protein,#000000
g0193,Znf/thioredoxin-put domain-containing protein,#D4A23F
g0187,WH2 domain-containing protein,#4F91F2
g0178,Peroxin-19,#3890FA
g0150,Tail assembly chaperone,#5191F1
g0636,hypothetical protein,#000000
g0144,MOSC domain-containing protein,#A096B2
g0623,HNH endonuclease,#000000
g0145,KfrA-N domain-containing protein,#9094C5
g0151,Tellurium resistance protein,#6F92E1
g0179,Putative response regulator domain-only transcriptional regulator,#C59D71
g0186,Secreted protein,#C79E6A
g0192,DUF4367 domain-containing protein,#9F96B3
g0347,TonB family protein,#000000
g0435,Lipoprotein,#000000
g0409,CxC5 domain-containing protein,#000000
g0384,Uncharacterized protein PA14_35840,#000000
g0390,Conjugal transfer protein,#000000
g0233,PAPS-reduct domain-containing protein,#3D90F8
g0555,AbiEi antitoxin of type IV toxin-antitoxin system,#000000
g0541,DUF1330 domain-containing protein,#2490FE
g0227,Methyl-accepting transducer domain-containing protein,#151D2C
g0569,Putative exported protein,#000000
g0582,Secreted protein,#000000
g0031,RNA polymerase sigma factor RpoH,#182235
g0025,PRTRC system protein C,#2579D5
g0019,PRTRC system protein B,#000000
g0033,mercury resistance system periplasmic binding protein MerP,#000000
g0027,organomercurial transporter MerC,#000000
g0594,Zinc-finger,#2F90FC
g0580,Conjugal transfer protein,#000000
g0557,Inner membrane protein,#000000
g0225,VWFA domain-containing protein,#3590FA
g0543,ClpS domain-containing protein,#000000
g0386,Abasic site processing protein,#000000
g0392,ribonuclease HII,#000000
g0379,AAA-5 domain-containing protein,#276CBD
g0423,PDDEXK-5 domain-containing protein,#000000
g0345,Lipoprotein,#000000
g0184,Transcriptional regulator,#9F96B4
g0190,Crp/Fnr family transcriptional regulator,#7F93D5
g0609,Tail fiber protein,#7B92D8
g0147,N6-Mtase domain-containing protein,#5E91EB
g0621,MBL fold metallo-hydrolase,#000000
g0635,Type III secretion effector protein,#000000
g0153,Dynein-AAA-lid domain-containing protein,#A396AF
g0634,hypothetical protein,#000000
g0152,Chemotaxis protein,#5E91EB
g0146,Integral membrane protein,#4C91F3
g0608,Phage protein,#000000
g0191,DUF1989 domain-containing protein,#AA97A4
g0185,Nitro-FeMo-Co domain-containing protein,#4991F4
g0350,Crp/Fnr family transcriptional regulator,#000000
g0436,DUF3768 domain-containing protein,#244778
g0422,Putative transmembrane pilus-related protein,#2C90FD
g0344,N-acetyltransferase,#275B9E
g0378,SMI1/KNR4 family protein,#000000
g0393,Aminopyrimidine aminohydrolase,#2760A7
g0224,LPD1 domain-containing protein,#121620
g0230,Restriction endonuclease subunit S,#121722
g0218,Autotransporter domain-containing protein,#1A273E
g0595,DUF3077 domain-containing protein,#2290FE
g0026,DNA-binding protein,#000000
g0032,HTH cro/C1-type domain-containing protein,#23426F
g0036,DUF2185 domain-containing protein,#000000
g0022,Response regulator,#22406C
g0591,DUF3480 domain-containing protein,#000000
