Name,Product,Colour
g0018,Ribosomal protein S3,#000000
g0024,DUF1640 domain-containing protein,#000000
g0047(2),NA,#000000
g0347_1(2),NA,#000000
g0147(2),NA,#000000
g0030,IS66 family transposase,#000000
g0293(2),NA,#1F8FFD
g0024(2),NA,#000000
g0124(2),NA,#22406C
g0059(2),NA,#000000
g0159(2),NA,#000000
g0226,Glutathione S-transferase,#000000
g0232,DUF3085 domain-containing protein,#000000
g0128(2),NA,#000000
g0391,Signal transduction histidine kinase,#000000
g0385,heavy metal translocating P-type ATPase,#000000
g0028(2),NA,#000000
g0434,PLDc-2 domain-containing protein,#000000
g0155(2),NA,#000000
g0352,hypothetical protein,#E4AD21
g0346,PAPS-reduct domain-containing protein,#8F94C7
g0055(2),NA,#000000
g0420,Ig-GlcNase domain-containing protein,#000000
g0136(2),NA,#000000
g0381(2),NA,#000000
g0036(2),NA,#000000
g0281(2),NA,#2761A9
g0193,Thioredoxin-like-fold domain-containing protein,#000000
g0187,Signal peptide protein,#000000
g0178,Endonuclease I,#000000
g0150,DUF4365 domain-containing protein,#000000
g0144,Cytochrome P450,#2F90FC
g0145,RES domain-containing protein,#4190F7
g0151,DUF222 domain-containing protein,#1F90FF
g0179,Lipoprotein,#000000
g0163(2),NA,#000000
g0186,DUF2158 domain-containing protein,#000000
g0063(2),NA,#3490FB
g0192,KilA-N domain-containing protein,#3990FA
g0421,DNA-binding response regulator%2C OmpR family%2C contains REC and winged-helix (wHTH) domain,#000000
g0435,Archaeal adenylate kinase,#000000
g0353,DUF4055 domain-containing protein,#C89E69
g0100(2),NA,#000000
g0409,Site-specific recombinase XerD,#000000
g0384,TnsD domain-containing protein,#000000
g0233,hypothetical protein,#000000
g0227,hypothetical protein,#000000
g0071(2),NA,#2E90FC
g0171(2),NA,#000000
g0031,Tetratricopeptide repeat protein,#000000
g0025,2OG-FeII-Oxy-4 domain-containing protein,#000000
g0012(2),NA,#000000
g0019,Transmembrane protein,#2890FD
g0112(2),NA,#000000
g0489(2),NA,#000000
g0272(2),NA,#2D90FC
g0033,DUF2846 domain-containing protein,#2670C5
g0372(2),NA,#4B91F4
g0423(2),NA,#000000
g0027,QslA-E domain-containing protein,#000000
g0211(2),NA,#000000
g0311(2),NA,#7192DF
g0440(2),NA,#000000
g0219,nucleoid-associated protein YejK,#000000
g0231,DNA-binding protein HU-beta,#000000
g0225,DUF3850 domain-containing protein,#000000
g0392,Transposase,#000000
g0379,CIA30 domain-containing protein,#9594C0
g0423,Phage protein,#000000
g0345,autotransporter outer membrane beta-barrel domain-containing protein,#B49994
g0431(2),NA,#000000
g0360(2),NA,#A096B3
g0351,Serine/threonine protein kinase,#EDB423
g0437,hypothetical protein,#000000
g0260(2),NA,#000000
g0452(2),NA,#000000
g0303(2),NA,#7992DA
g0203(2),NA,#000000
g0184,Twin-arginine translocation signal domain-containing protein,#1D2F4D
g0190,hypothetical protein,#000000
g0147,DUF4305 domain-containing protein,#000000
g0153,Cytochrome C,#000000
g0152,Cytochrome,#000000
g0146,DUF1648 domain-containing protein,#000000
g0356(2),NA,#8793CE
g0407(2),NA,#000000
g0191,DUF2281 domain-containing protein,#000000
g0256(2),NA,#000000
g0185,Exodeoxyribonuclease I,#000000
g0350,DNA replication terminus site-binding protein,#DCA720
g0436,CHAD domain-containing protein,#000000
g0422,Protein-S-isoprenylcysteine O-methyltransferase Ste14,#000000
g0344,Transcriptional regulator,#BD9B82
g0182(2),NA,#000000
g0335(2),NA,#8293D2
g0464(2),NA,#000000
g0082(2),NA,#000000
g0235(2),NA,#000000
g0378,NUDIX hydrolase,#6091EA
g0387,IS66 family ISPpu14 transposase,#000000
g0348(2),NA,#B99A8A
g0248(2),NA,#2D90FC
g0224,Transcriptional regulator,#000000
g0239(2),NA,#4390F7
g0468(2),NA,#000000
g0230,VWA domain-containing protein,#000000
g0339(2),NA,#A396AF
g0218,Tail assembly chaperone,#000000
g0244(2),NA,#000000
g0415(2),NA,#000000
g0344(2),NA,#BD9B82
g0026,mercury(II) reductase,#000000
g0032,DUF3806 domain-containing protein,#000000
g0227(2),NA,#000000
g0090(2),NA,#000000
g0476(2),NA,#000000
g0327(2),NA,#8B94CA
g0190(2),NA,#000000
g0450(2),NA,#000000
g0301(2),NA,#247FDF
g0201(2),NA,#000000
g0036,DUF4065 domain-containing protein,#000000
g0022,Radical-SAM domain-containing protein,#1D2D4A
g0234,Ypjf toxin protein,#000000
g0433(2),NA,#000000
g0362(2),NA,#6491E8
g0262(2),NA,#000000
g0220,DUF2591 domain-containing protein,#000000
g0208,Error-prone repair protein UmuD,#2490FE
g0383,Phosphoglycerol transferase MdoB/OpgB%2C AlkP superfamily,#000000
g0213(2),NA,#000000
g0313(2),NA,#8893CD
g0442(2),NA,#3990FA
g0340,YCII domain-containing protein,#6591E7
g0426,PINc domain-containing protein,#000000
g0354,Leader peptidase (Prepilin peptidase),#E7AF22
g0368,Response regulatory domain-containing protein,#B99A8A
g0181,Ammonia monooxygenase,#000000
g0195,DUF2218 domain-containing protein,#000000
g0270(2),NA,#265796
g0142,N-acetyltransferase domain-containing protein,#208BF5
g0370(2),NA,#4B91F4
g0421(2),NA,#000000
g0156,DUF4224 domain-containing protein,#000000
g0225(2),NA,#000000
g0092(2),NA,#000000
g0325(2),NA,#5491F0
g0192(2),NA,#3990FA
g0157,Glyco-trans-2-like domain-containing protein,#000000
g0143,Transmembrane protein,#000000
g0258(2),NA,#000000
g0409(2),NA,#000000
g0358(2),NA,#ECB322
g0194,Malectin-like domain-containing protein,#000000
g0180,Chromosome (Plasmid) partitioning protein ParB / Stage 0 sporulation protein J,#000000
g0369,DUF5063 domain-containing protein,#9795BD
g0433,DUF2786 domain-containing protein,#000000
g0355,Lectin/glucanase superfamily protein,#8393D1
g0341,Ferredoxin,#DDA820
g0427,Tail assembly chaperone,#000000
g0246(2),NA,#000000
g0396,Outer membrane protein TolC,#000000
g0382,Transposase,#000000
g0417(2),NA,#000000
g0346(2),NA,#8F94C7
g0180(2),NA,#000000
g0337(2),NA,#C99E67
g0466(2),NA,#000000
g0209,RepB family plasmid replication initiator protein,#000000
g0080(2),NA,#000000
g0237(2),NA,#000000
g0221,Prepilin-type N-terminal cleavage/methylation domain-containing protein,#000000
g0235,Radical SAM protein,#000000
g0329(2),NA,#5C91EC
g0023,BLUF domain-containing protein,#000000
g0478(2),NA,#000000
g0229(2),NA,#000000
g0037,TrfA protein,#000000
g0354(2),NA,#E7AF22
g0405(2),NA,#000000
g0254(2),NA,#000000
g0134(2),NA,#000000
g0383(2),NA,#000000
g0034(2),NA,#000000
g0283(2),NA,#2290FE
g0021,putative transcriptional regulators,#000000
g0035,Twitching motility protein PilG,#000000
g0149(2),NA,#000000
g0009,DNA primase,#4991F5
g0049(2),NA,#000000
g0223,Amidohydro-rel domain-containing protein,#000000
g0157(2),NA,#000000
g0237,SET domain-containing protein,#000000
g0057(2),NA,#000000
g0380,Cu/Ag efflux pump CusA,#000000
g0291(2),NA,#5691EF
g0026(2),NA,#000000
g0391(2),NA,#000000
g0126(2),NA,#000000
g0357,Histidine kinase,#9094C5
g0431,hypothetical protein,#000000
g0425,hypothetical protein,#000000
g0343,Cytosine/purine/uracil/thiamine/allantoin permease family protein,#DEA820
g0038(2),NA,#5E91EB
g0196,BON domain-containing protein,#000000
g0182,Sensory box/GGDEF family protein,#000000
g0138(2),NA,#000000
g0045(2),NA,#000000
g0155,Twitching motility protein PilT,#000000
g0145(2),NA,#4190F7
g0141,DUF1801 domain-containing protein,#000000
