allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)	cluster	cluster_order	pQBR127	pQBR132	pQBR28	pQBR53	pQBR55	pQBR55R	pQG3rel01	pQG3rel02	pQG3rel03	pQG3rel04	pQG3rel05	pQG3rel06
g0041_0003	g0041	ssb	Single-stranded DNA-binding protein	80	6	12	1	1	1	0	0	0	0	12	Single-stranded DNA-binding protein(11):single-stranded DNA-binding protein(1)	NA(11):ssb(1)	507	540	519.25	1	1	pQBR127_00067	pQBR132_00087	pQBR28_00066	pQBR53_00070	pQBR55_00094	pQBR55R_00070	pQG3rel01_00073	pQG3rel02_00076	pQG3rel03_00074	pQG3rel04_00078	pQG3rel05_00068	pQG3rel06_00074
g0033_0004	g0033	recT	Recombinase RecT	90	6	12	1	1	1	1	0	1	0	12	Recombinase RecT(12):hypothetical protein(1)	recT(12):NA(1)	303	1098	1014.69	1	2	pQBR127_00066	pQBR132_00086	pQBR28_00065	pQBR53_00069	pQBR55_00093	pQBR55R_00069	pQG3rel01_00072	pQG3rel02_00075	pQG3rel03_00073	(pQG3rel04_00076:pQG3rel04_00077)	pQG3rel05_00067	pQG3rel06_00073
g0059_0005	g0059	yqaJ	YqaJ domain-containing protein	95	5	12	1	1	1	0	0	0	0	12	YqaJ domain-containing protein(12)	yqaJ(12)	990	996	995.50	1	3	pQBR127_00065	pQBR132_00085	pQBR28_00064	pQBR53_00068	pQBR55_00092	pQBR55R_00068	pQG3rel01_00071	pQG3rel02_00074	pQG3rel03_00072	pQG3rel04_00075	pQG3rel05_00066	pQG3rel06_00072
g0116_0005	g0116	NA	AAA domain-containing protein	95	2	12	1	1	1	1	0	1	0	12	AAA domain-containing protein(13)	NA(13)	492	1047	967.38	1	4	pQBR127_00064	pQBR132_00084	pQBR28_00063	pQBR53_00067	pQBR55_00091	pQBR55R_00067	pQG3rel01_00070	pQG3rel02_00073	pQG3rel03_00071	(pQG3rel04_00073:pQG3rel04_00074)	pQG3rel05_00065	pQG3rel06_00071
g0075_0003	g0075	vapC	Tir chaperone family protein	80	5	12	1	1	1	0	0	0	0	12	Tir chaperone family protein(8):Type II toxin-antitoxin system VapC family toxin(4)	NA(8):vapC(4)	462	462	462.00	1	5	pQBR127_00063	pQBR132_00083	pQBR28_00062	pQBR53_00066	pQBR55_00090	pQBR55R_00066	pQG3rel01_00069	pQG3rel02_00072	pQG3rel03_00070	pQG3rel04_00072	pQG3rel05_00064	pQG3rel06_00070
g0054_0003	g0054	NA	Cobalamine biosynthesis protein	80	5	12	1	1	1	0	0	0	0	12	Cobalamine biosynthesis protein(11):DUF3150 domain-containing protein(1)	NA(12)	1185	1185	1185.00	1	6	pQBR127_00062	pQBR132_00082	pQBR28_00061	pQBR53_00065	pQBR55_00089	pQBR55R_00065	pQG3rel01_00068	pQG3rel02_00071	pQG3rel03_00069	pQG3rel04_00071	pQG3rel05_00063	pQG3rel06_00069
g0030_0004	g0030	NA	VWFA domain-containing protein	90	6	12	1	1	1	1	0	1	0	12	VWFA domain-containing protein(12):hypothetical protein(1)	NA(13)	501	1716	1579.38	1	7	pQBR127_00061	pQBR132_00081	pQBR28_00060	pQBR53_00064	pQBR55_00088	pQBR55R_00064	pQG3rel01_00067	pQG3rel02_00070	pQG3rel03_00068	(pQG3rel04_00069:pQG3rel04_00070)	pQG3rel05_00062	pQG3rel06_00068
g0099_0004	g0099	NA	Baseplate protein	90	4	12	1	1	1	0	0	0	0	12	Baseplate protein(12)	NA(12)	453	453	453.00	1	8	pQBR127_00060	pQBR132_00080	pQBR28_00059	pQBR53_00063	pQBR55_00087	pQBR55R_00063	pQG3rel01_00066	pQG3rel02_00069	pQG3rel03_00067	pQG3rel04_00068	pQG3rel05_00061	pQG3rel06_00067
g0141_0004	g0141	NA	Integrase	90	3	12	1	1	1	0	0	0	0	12	Integrase(12)	NA(12)	246	246	246.00	1	9	pQBR127_00059	pQBR132_00079	pQBR28_00058	pQBR53_00062	pQBR55_00086	pQBR55R_00062	pQG3rel01_00065	pQG3rel02_00068	pQG3rel03_00066	pQG3rel04_00067	pQG3rel05_00060	pQG3rel06_00066
g0063_0005	g0063	NA	DNA adenine modification methylase	95	3	12	1	1	1	1	0	1	0	12	DNA adenine modification methylase(12):hypothetical protein(1)	NA(13)	324	882	811.62	1	10	pQBR127_00058	pQBR132_00078	pQBR28_00057	pQBR53_00061	pQBR55_00085	pQBR55R_00061	pQG3rel01_00064	(pQG3rel02_00066:pQG3rel02_00067)	pQG3rel03_00065	pQG3rel04_00066	pQG3rel05_00059	pQG3rel06_00065
