allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)	cluster	cluster_order	pQBR103	pQBR106p	pQBR11d	pQBR124	pQBR4	pQBR43	pQBR44d	pQBR47p	pQBR49	pQBR5	pQBR50d
g0042_0006	g0042	NA	Roadblock/LC7 domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	Roadblock/LC7 domain-containing protein(11)	NA(11)	312	312	312.00	1	1	pQBR103_00433	pQBR106p_00027	pQBR11d_00451	pQBR124_00430	pQBR4_00498	pQBR43_00497	pQBR44d_00049	pQBR47p_00222	pQBR49_00515	pQBR5_00430	pQBR50d_00485
g0067_0006	g0067	NA	Transmembrane protein	98	1	11	1	1	1	0	0	0	0	11	Transmembrane protein(11)	NA(11)	615	615	615.00	1	2	pQBR103_00434	pQBR106p_00028	pQBR11d_00452	pQBR124_00431	pQBR4_00499	pQBR43_00498	pQBR44d_00050	pQBR47p_00223	pQBR49_00516	pQBR5_00431	pQBR50d_00486
g0026_0006	g0026	NA	DNA-binding protein	98	1	11	1	1	1	0	0	0	0	11	DNA-binding protein(11)	NA(11)	393	393	393.00	1	3	pQBR103_00435	pQBR106p_00029	pQBR11d_00453	pQBR124_00432	pQBR4_00500	pQBR43_00499	pQBR44d_00051	pQBR47p_00224	pQBR49_00517	pQBR5_00432	pQBR50d_00487
g0012_0006	g0012	NA	Arc family DNA-binding protein	98	1	11	1	1	1	0	0	0	0	11	Arc family DNA-binding protein(11)	NA(11)	333	333	333.00	1	4	pQBR103_00436	pQBR106p_00030	pQBR11d_00454	pQBR124_00433	pQBR4_00501	pQBR43_00500	pQBR44d_00052	pQBR47p_00225	pQBR49_00518	pQBR5_00433	pQBR50d_00488
g0069_0006	g0069	NA	RNHCP domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	RNHCP domain-containing protein(11)	NA(11)	354	354	354.00	1	5	pQBR103_00437	pQBR106p_00031	pQBR11d_00455	pQBR124_00434	pQBR4_00502	pQBR43_00501	pQBR44d_00053	pQBR47p_00226	pQBR49_00519	pQBR5_00434	pQBR50d_00489
g0047_0006	g0047	NA	RNase III domain-containing protein	98	1	11	1	1	1	0	0	0	0	11	RNase III domain-containing protein(11)	NA(11)	636	636	636.00	1	6	pQBR103_00438	pQBR106p_00032	pQBR11d_00456	pQBR124_00435	pQBR4_00503	pQBR43_00502	pQBR44d_00054	pQBR47p_00227	pQBR49_00520	pQBR5_00435	pQBR50d_00490
g0062_0006	g0062	NA	Amidophosphoribosyltransferase	98	1	11	1	1	1	0	0	0	0	11	Amidophosphoribosyltransferase(11)	NA(11)	354	354	354.00	1	7	pQBR103_00439	pQBR106p_00033	pQBR11d_00457	pQBR124_00436	pQBR4_00504	pQBR43_00503	pQBR44d_00055	pQBR47p_00228	pQBR49_00521	pQBR5_00436	pQBR50d_00491
g0061_0006	g0061	NA	Phage protein	98	1	11	1	1	1	0	0	0	0	11	Phage protein(11)	NA(11)	576	576	576.00	1	8	pQBR103_00440	pQBR106p_00034	pQBR11d_00458	pQBR124_00437	pQBR4_00505	pQBR43_00504	pQBR44d_00056	pQBR47p_00229	pQBR49_00522	pQBR5_00437	pQBR50d_00492
g0065_0006	g0065	NA	Integral membrane protein	98	1	11	1	1	1	0	0	0	0	11	Integral membrane protein(11)	NA(11)	444	444	444.00	1	9	pQBR103_00441	pQBR106p_00035	pQBR11d_00459	pQBR124_00438	pQBR4_00506	pQBR43_00505	pQBR44d_00057	pQBR47p_00230	pQBR49_00523	pQBR5_00438	pQBR50d_00493
g0031_0006	g0031	rpoH	RNA polymerase sigma factor RpoH	98	1	11	1	1	1	0	0	0	0	11	RNA polymerase sigma factor RpoH(11)	rpoH(11)	831	831	831.00	1	10	pQBR103_00442	pQBR106p_00036	pQBR11d_00460	pQBR124_00439	pQBR4_00507	pQBR43_00506	pQBR44d_00058	pQBR47p_00231	pQBR49_00524	pQBR5_00439	pQBR50d_00494
